area,item,unit,year,value
"China, Hong Kong SAR",Swine,kt,2013,0.0297
"China, Hong Kong SAR",Swine,kt,2014,0.0298
"China, Hong Kong SAR",Swine,kt,2015,0.0145
"China, Hong Kong SAR",Swine,kt,2016,0.0148
"China, Hong Kong SAR",Swine,kt,2017,0.0176
"China, Hong Kong SAR",Swine,kt,2018,0.0179
"China, Hong Kong SAR",Swine,kt,2019,0.0184
"China, Hong Kong SAR",Swine,kt,2020,0.0201
"China, Hong Kong SAR",Swine,kt,2021,0.0186
"China, Hong Kong SAR",Swine,kt,2022,0.0204
"China, Hong Kong SAR",Swine,kt,2023,0.0197
"China, Taiwan Province of",Buffalo,kt,2010,0.007
"China, Taiwan Province of",Buffalo,kt,2011,0.007
"China, Taiwan Province of",Buffalo,kt,2012,0.0066
"China, Taiwan Province of",Buffalo,kt,2013,0.0058
"China, Taiwan Province of",Buffalo,kt,2014,0.0046
"China, Taiwan Province of",Buffalo,kt,2015,0.0045
"China, Taiwan Province of",Buffalo,kt,2016,0.0042
"China, Taiwan Province of",Buffalo,kt,2017,0.0037
"China, Taiwan Province of",Buffalo,kt,2018,0.0038
"China, Taiwan Province of",Buffalo,kt,2019,0.0036
"China, Taiwan Province of",Buffalo,kt,2020,0.0039
"China, Taiwan Province of",Buffalo,kt,2021,0.0037
"China, Taiwan Province of",Buffalo,kt,2022,0.0035
"China, Taiwan Province of",Buffalo,kt,2023,0.0037
"China, Taiwan Province of",Cattle,kt,2010,0.2116
"China, Taiwan Province of",Cattle,kt,2011,0.222
"China, Taiwan Province of",Cattle,kt,2012,0.2293
"China, Taiwan Province of",Cattle,kt,2013,0.233
"China, Taiwan Province of",Cattle,kt,2014,0.2359
"China, Taiwan Province of",Cattle,kt,2015,0.2333
"China, Taiwan Province of",Cattle,kt,2016,0.2394
"China, Taiwan Province of",Cattle,kt,2017,0.2346
"China, Taiwan Province of",Cattle,kt,2018,0.2363
"China, Taiwan Province of",Cattle,kt,2019,0.2424
"China, Taiwan Province of",Cattle,kt,2020,0.2468
"China, Taiwan Province of",Cattle,kt,2021,0.2593
"China, Taiwan Province of",Cattle,kt,2022,0.2579
"China, Taiwan Province of",Cattle,kt,2023,0.2559
"China, Taiwan Province of",Goats,kt,2010,0.0706
"China, Taiwan Province of",Goats,kt,2011,0.07
"China, Taiwan Province of",Goats,kt,2012,0.0651
"China, Taiwan Province of",Goats,kt,2013,0.0571
"China, Taiwan Province of",Goats,kt,2014,0.055
"China, Taiwan Province of",Goats,kt,2015,0.0533
"China, Taiwan Province of",Goats,kt,2016,0.0499
"China, Taiwan Province of",Goats,kt,2017,0.0495
"China, Taiwan Province of",Goats,kt,2018,0.0484
"China, Taiwan Province of",Goats,kt,2019,0.0461
"China, Taiwan Province of",Goats,kt,2020,0.0446
"China, Taiwan Province of",Goats,kt,2021,0.0431
"China, Taiwan Province of",Goats,kt,2022,0.0398
"China, Taiwan Province of",Goats,kt,2023,0.0368
"China, Taiwan Province of",Sheep,kt,2010,0.0001
"China, Taiwan Province of",Sheep,kt,2011,0.0001
"China, Taiwan Province of",Sheep,kt,2012,0.0001
"China, Taiwan Province of",Sheep,kt,2013,0.0001
"China, Taiwan Province of",Sheep,kt,2014,0.0001
"China, Taiwan Province of",Sheep,kt,2015,0.0001
"China, Taiwan Province of",Sheep,kt,2016,0.0001
"China, Taiwan Province of",Sheep,kt,2017,0.0001
"China, Taiwan Province of",Sheep,kt,2018,0.0001
"China, Taiwan Province of",Sheep,kt,2019,0
"China, Taiwan Province of",Sheep,kt,2020,0
