area,item,unit,year,value
Brunei Darussalam,Swine,kt,2014,0.0103
Brunei Darussalam,Swine,kt,2015,0.0102
Brunei Darussalam,Swine,kt,2016,0.0103
Brunei Darussalam,Swine,kt,2017,0.0103
Brunei Darussalam,Swine,kt,2018,0.01
Brunei Darussalam,Swine,kt,2019,0.01
Brunei Darussalam,Swine,kt,2020,0.0092
Brunei Darussalam,Swine,kt,2021,0.0084
Brunei Darussalam,Swine,kt,2022,0.0075
Brunei Darussalam,Swine,kt,2023,0.0067
Cambodia,Buffalo,kt,2010,40.0182
Cambodia,Buffalo,kt,2011,39.3203
Cambodia,Buffalo,kt,2012,38.76
Cambodia,Buffalo,kt,2013,38.532
Cambodia,Buffalo,kt,2014,38.76
Cambodia,Buffalo,kt,2015,38.874
Cambodia,Buffalo,kt,2016,38.7927
Cambodia,Buffalo,kt,2017,38.694
Cambodia,Buffalo,kt,2018,38.5823
Cambodia,Buffalo,kt,2019,38.4058
Cambodia,Buffalo,kt,2020,38.1637
Cambodia,Buffalo,kt,2021,38.1289
Cambodia,Buffalo,kt,2022,38.0246
Cambodia,Buffalo,kt,2023,37.9203
Cambodia,Cattle,kt,2010,174.349
Cambodia,Cattle,kt,2011,170.4709
Cambodia,Cattle,kt,2012,146.9056
Cambodia,Cattle,kt,2013,146.1869
Cambodia,Cattle,kt,2014,145.0881
Cambodia,Cattle,kt,2015,144.2009
Cambodia,Cattle,kt,2016,144.5208
Cambodia,Cattle,kt,2017,144.0383
Cambodia,Cattle,kt,2018,143.5423
Cambodia,Cattle,kt,2019,142.5208
Cambodia,Cattle,kt,2020,141.7666
Cambodia,Cattle,kt,2021,138.7848
Cambodia,Cattle,kt,2022,135.2604
Cambodia,Cattle,kt,2023,131.1959
Cambodia,Swine,kt,2010,16.2054
Cambodia,Swine,kt,2011,16.5354
Cambodia,Swine,kt,2012,16.6982
Cambodia,Swine,kt,2013,16.9345
Cambodia,Swine,kt,2014,17.1708
Cambodia,Swine,kt,2015,17.1708
Cambodia,Swine,kt,2016,17.1026
Cambodia,Swine,kt,2017,17.1177
Cambodia,Swine,kt,2018,17.1618
Cambodia,Swine,kt,2019,17.1993
Cambodia,Swine,kt,2020,16.4532
Cambodia,Swine,kt,2021,15.5515
Cambodia,Swine,kt,2022,16.3763
Cambodia,Swine,kt,2023,16.0441
"China, Hong Kong SAR",Buffalo,kt,2010,0.016
"China, Hong Kong SAR",Buffalo,kt,2011,0.016
"China, Hong Kong SAR",Buffalo,kt,2012,0.0171
"China, Hong Kong SAR",Buffalo,kt,2013,0.0171
"China, Hong Kong SAR",Buffalo,kt,2014,0.0171
"China, Hong Kong SAR",Buffalo,kt,2015,0.0172
"China, Hong Kong SAR",Buffalo,kt,2016,0.0174
"China, Hong Kong SAR",Buffalo,kt,2017,0.0177
"China, Hong Kong SAR",Buffalo,kt,2018,0.0179
"China, Hong Kong SAR",Buffalo,kt,2019,0.0181
"China, Hong Kong SAR",Buffalo,kt,2020,0.0189
"China, Hong Kong SAR",Buffalo,kt,2021,0.0188
"China, Hong Kong SAR",Buffalo,kt,2022,0.019
"China, Hong Kong SAR",Buffalo,kt,2023,0.0191
"China, Hong Kong SAR",Cattle,kt,2010,0.0777
"China, Hong Kong SAR",Cattle,kt,2011,0.0777
"China, Hong Kong SAR",Cattle,kt,2012,0.0825
"China, Hong Kong SAR",Cattle,kt,2013,0.0825
"China, Hong Kong SAR",Cattle,kt,2014,0.0825
"China, Hong Kong SAR",Cattle,kt,2015,0.0795
"China, Hong Kong SAR",Cattle,kt,2016,0.0765
"China, Hong Kong SAR",Cattle,kt,2017,0.0764
"China, Hong Kong SAR",Cattle,kt,2018,0.0763
"China, Hong Kong SAR",Cattle,kt,2019,0.0762
"China, Hong Kong SAR",Cattle,kt,2020,0.0761
"China, Hong Kong SAR",Cattle,kt,2021,0.0759
"China, Hong Kong SAR",Cattle,kt,2022,0.0758
"China, Hong Kong SAR",Cattle,kt,2023,0.0757
"China, Hong Kong SAR",Goats,kt,2010,0.0036
"China, Hong Kong SAR",Goats,kt,2011,0.0035
"China, Hong Kong SAR",Goats,kt,2012,0.0035
"China, Hong Kong SAR",Goats,kt,2013,0.0035
"China, Hong Kong SAR",Goats,kt,2014,0.0035
"China, Hong Kong SAR",Goats,kt,2015,0.0035
"China, Hong Kong SAR",Goats,kt,2016,0.0035
"China, Hong Kong SAR",Goats,kt,2017,0.0036
"China, Hong Kong SAR",Goats,kt,2018,0.0036
"China, Hong Kong SAR",Goats,kt,2019,0.0036
"China, Hong Kong SAR",Goats,kt,2020,0.0036
"China, Hong Kong SAR",Goats,kt,2021,0.0036
