area,item,unit,year,value
"China, Hong Kong SAR",Goats,kt,2022,0.0036
"China, Hong Kong SAR",Goats,kt,2023,0.0036
"China, Hong Kong SAR",Sheep,kt,2010,0.0001
"China, Hong Kong SAR",Sheep,kt,2011,0.0001
"China, Hong Kong SAR",Sheep,kt,2012,0.0001
"China, Hong Kong SAR",Sheep,kt,2013,0.0001
"China, Hong Kong SAR",Sheep,kt,2014,0.0001
"China, Hong Kong SAR",Sheep,kt,2015,0.0001
"China, Hong Kong SAR",Sheep,kt,2016,0.0001
"China, Hong Kong SAR",Sheep,kt,2017,0.0001
"China, Hong Kong SAR",Sheep,kt,2018,0.0001
"China, Hong Kong SAR",Sheep,kt,2019,0.0001
"China, Hong Kong SAR",Sheep,kt,2020,0.0001
"China, Hong Kong SAR",Sheep,kt,2021,0.0001
"China, Hong Kong SAR",Sheep,kt,2022,0.0001
"China, Hong Kong SAR",Sheep,kt,2023,0.0001
"China, Hong Kong SAR",Swine,kt,2010,1.02
"China, Hong Kong SAR",Swine,kt,2011,1.05
"China, Hong Kong SAR",Swine,kt,2012,1.05
"China, Hong Kong SAR",Swine,kt,2013,1.056
"China, Hong Kong SAR",Swine,kt,2014,1.062
"China, Hong Kong SAR",Swine,kt,2015,0.5144
"China, Hong Kong SAR",Swine,kt,2016,0.5277
"China, Hong Kong SAR",Swine,kt,2017,0.6255
"China, Hong Kong SAR",Swine,kt,2018,0.6359
"China, Hong Kong SAR",Swine,kt,2019,0.6556
"China, Hong Kong SAR",Swine,kt,2020,0.7154
"China, Hong Kong SAR",Swine,kt,2021,0.6609
"China, Hong Kong SAR",Swine,kt,2022,0.7242
"China, Hong Kong SAR",Swine,kt,2023,0.7002
"China, Taiwan Province of",Buffalo,kt,2010,0.2191
"China, Taiwan Province of",Buffalo,kt,2011,0.2191
"China, Taiwan Province of",Buffalo,kt,2012,0.2067
"China, Taiwan Province of",Buffalo,kt,2013,0.1811
"China, Taiwan Province of",Buffalo,kt,2014,0.1431
"China, Taiwan Province of",Buffalo,kt,2015,0.1389
"China, Taiwan Province of",Buffalo,kt,2016,0.1317
"China, Taiwan Province of",Buffalo,kt,2017,0.1161
"China, Taiwan Province of",Buffalo,kt,2018,0.1172
"China, Taiwan Province of",Buffalo,kt,2019,0.1124
"China, Taiwan Province of",Buffalo,kt,2020,0.1206
"China, Taiwan Province of",Buffalo,kt,2021,0.1141
"China, Taiwan Province of",Buffalo,kt,2022,0.1092
"China, Taiwan Province of",Buffalo,kt,2023,0.1146
"China, Taiwan Province of",Cattle,kt,2010,8.4128
"China, Taiwan Province of",Cattle,kt,2011,8.8027
"China, Taiwan Province of",Cattle,kt,2012,9.0979
"China, Taiwan Province of",Cattle,kt,2013,9.2894
"China, Taiwan Province of",Cattle,kt,2014,9.4351
"China, Taiwan Province of",Cattle,kt,2015,9.3427
"China, Taiwan Province of",Cattle,kt,2016,9.5955
"China, Taiwan Province of",Cattle,kt,2017,9.3553
"China, Taiwan Province of",Cattle,kt,2018,9.446
"China, Taiwan Province of",Cattle,kt,2019,9.6776
"China, Taiwan Province of",Cattle,kt,2020,9.8522
"China, Taiwan Province of",Cattle,kt,2021,10.3018
"China, Taiwan Province of",Cattle,kt,2022,10.2404
"China, Taiwan Province of",Cattle,kt,2023,10.2505
"China, Taiwan Province of",Goats,kt,2010,1.0671
"China, Taiwan Province of",Goats,kt,2011,1.0591
"China, Taiwan Province of",Goats,kt,2012,0.9846
"China, Taiwan Province of",Goats,kt,2013,0.8639
"China, Taiwan Province of",Goats,kt,2014,0.8316
"China, Taiwan Province of",Goats,kt,2015,0.8068
"China, Taiwan Province of",Goats,kt,2016,0.7548
"China, Taiwan Province of",Goats,kt,2017,0.7483
"China, Taiwan Province of",Goats,kt,2018,0.7317
"China, Taiwan Province of",Goats,kt,2019,0.6969
"China, Taiwan Province of",Goats,kt,2020,0.6752
"China, Taiwan Province of",Goats,kt,2021,0.6518
"China, Taiwan Province of",Goats,kt,2022,0.6023
"China, Taiwan Province of",Goats,kt,2023,0.5566
"China, Taiwan Province of",Sheep,kt,2010,0.001
"China, Taiwan Province of",Sheep,kt,2011,0.001
"China, Taiwan Province of",Sheep,kt,2012,0.001
"China, Taiwan Province of",Sheep,kt,2013,0.0011
"China, Taiwan Province of",Sheep,kt,2014,0.0011
"China, Taiwan Province of",Sheep,kt,2015,0.0011
"China, Taiwan Province of",Sheep,kt,2016,0.0011
"China, Taiwan Province of",Sheep,kt,2017,0.001
"China, Taiwan Province of",Sheep,kt,2018,0.001
"China, Taiwan Province of",Sheep,kt,2019,0.0009
