Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2013,2013,g/cap/d,0.95,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2014,2014,kg/cap,2.1,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2014,2014,kcal/cap/d,7.95,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2014,2014,g/cap/d,0.95,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2015,2015,kg/cap,1.96,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2015,2015,kcal/cap/d,7.4,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2015,2015,g/cap/d,0.88,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2016,2016,kg/cap,1.99,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2016,2016,kcal/cap/d,7.52,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2016,2016,g/cap/d,0.9,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2017,2017,kg/cap,1.79,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2017,2017,kcal/cap/d,6.77,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2017,2017,g/cap/d,0.81,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,645,Food supply quantity (kg/capita/yr),S2734,Poultry Meat,2018,2018,kg/cap,1.46,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,664,Food supply (kcal/capita/day),S2734,Poultry Meat,2018,2018,kcal/cap/d,5.5,E,Estimated value,
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),S2734,Poultry Meat,2018,2018,g/cap/d,0.66,E,Estimated value,
